url,specifications,description,price,image_url,name
https://yumo.ca/collections/badminton-rackets/products/victor-x-baby-milo-store-unstrung-badminton-racket-tk-babymilo-g-jungle-camo,"{""Color"": ""JUNGLE CAMO"", ""Weight"": ""4U / G5"", ""Material"": ""High Resilience Modulus Graphite + PBO High Performance Fiber + PYROFIL + 6.8 SHAFT""}","Victor X BABY MILO STORE® Unstrung Badminton Racket TK-BABYMILO-G [Jungle Camo]
The VICTOR x BABY MILO® Collection blends sports functionality with fashion-forward style. Featuring BABY MILO® and signature camo prints, this limited-edition collection delivers the coolest look for both on-court performance and off-court wear.
Product Specification:
Stiffness
Color
JUNGLE CAMO
Weight / Grip Size
4U / G5
String tension LBS
≦ 28 lbs(12.5kg)
Frame Material
High Resilience Modulus Graphite + NANO AEROGEL + PBO High Performance Fiber + HARD CORED TECHNOLOGY
Shaft Material
High Resilience Modulus Graphite + PBO High Performance Fiber + PYROFIL + 6.8 SHAFT
Release
2026
Country of Origin
China
Product Technology
HARD CORED TECHNOLOGY
Inspired by military helicopter, multi-layered structure made by carbon fiber and composites, minimize material size, reinforce handling feel and performance at a critical standard.
NANO TEC
The NANO TEC technology works by evenly distributing nano-sized particles in the vacant space between carbon fiber bundles, this highly increases the overall stiffness of the carbon composite fibers, and reduces the distortion of the frame.
TRI-FORMATION
Different frame structures—including POWER-BOX, DIAMOND, AERO, and AERODYNAMIC—are rearranged and integrated based on computer simulation to optimize the hitting, frame characteristics, and overall performance.
PYROFIL by Mitsubishi
paragraphPYROFIL carbon fiber and its composites, are advanced high-performance materials from Japan. The characteristic of high intensity bonds ultra-light offers racket excellent shock-absorption and enhances control.
FREE CORE
The revolutionary handle style is designed using computer simulation and manufactured with injection molding techniques. It enables not only freer shaft movement but also smoother swings and an enhanced handling experience.
Product Details
2026 |",112.49,http://yumo.ca/cdn/shop/files/Victor_TK-BabyMilo-G_Badminton_Racket_YumoProShop_1200x1200.png?v=1768589888,victor-x-baby-milo-store-unstrung-badminton-racket-tk-babymilo-g-jungle-camo
https://yumo.ca/collections/badminton-rackets/products/victor-x-baby-milo-store-unstrung-badminton-racket-ars-babymilo-o-orange,"{""Color"": ""Milo Orange"", ""Weight"": ""4U / G5"", ""Material"": ""High Resilience Modulus Graphite + PBO High Performance Fiber + PYROFIL + 6.8 SHAFT""}","Victor X BABY MILO STORE® Unstrung Badminton Racket ARS-BABYMILO-O [Orange]
The VICTOR x BABY MILO® Collection blends sports functionality with fashion-forward style. Featuring BABY MILO® and signature camo prints, this limited-edition collection delivers the coolest look for both on-court performance and off-court wear.
Product Specification:
Stiffness
Color
Milo Orange
Weight / Grip Size
4U / G5
String tension LBS
≦ 29 lbs(13kg)
Frame Material
High Resilience Modulus Graphite + NANO AEROGEL + PBO High Performance Fiber + HARD CORED TECHNOLOGY
Shaft Material
High Resilience Modulus Graphite + PBO High Performance Fiber + PYROFIL + 6.8 SHAFT
Release
2026
Country of Origin
China
Product Technology
NANO AEROGEL
NANO AEROGEL, the world's lightest solid, is infused into the frame. By reallocating the weight balance of the frame and increasing the use of carbon fiber, both the frame's strength and hitting feel are effectively elevated.
HARD CORED TECHNOLOGY
Inspired by military helicopter, multi-layered structure made by carbon fiber and composites, minimize material size, reinforce handling feel and performance at a critical standard.
5.0mm ULTRA SLIM FRAME
5.0mm racket frame design. With the thinnest part of the frame measuring just 5.0mm, each swing feels like wielding a sharp blade and brings lightning speed.
DYNAMIC-SWORD
Based on the principles of aerodynamics, the DYNAMIC-SWORD is further upgraded from the SWORD by adjusting different positions on the frame accordingly: 12 and 6 o’clock positions are made inward; 3 and 9 o’clock positions are made outward. The blade-like frame structure has a larger sectional area to direct airflow, making returns faster and smoother.
PBO HIGH PERFORMANCE FIBER
An aeronautical material with high-strength, and it elevates force transmission performance. This makes the racket lightweight and both strength and comfort hitting sensation are combined.
PYROFIL by Mitsubishi
paragraphPYROFIL carbon fiber and its composites, are advanced high-performance materials from Japan. The characteristic of high intensity bonds ultra-light offers racket excellent shock-absorption and enhances control.
FREE CORE
The revolutionary handle style is designed using computer simulation and manufactured with injection molding techniques. It enables not only freer shaft movement but also smoother swings and an enhanced handling experience.
WHIPPING ENHANCE SYSTEM 2.0
The innovative carbon fiber layering design has improved the anti-torsion performance, further making the racket flex faster with better force transmission. As a redefinition of “whipping effect,” WES 2.0 allows the players to drive the shuttle at a sharp downward angle when attacking.
Product Details
2026 |",194.99,http://yumo.ca/cdn/shop/files/Victor_ARS-BabyMilo-O_Badminton_Racket_YumoProShop_1200x1200.png?v=1768507227,victor-x-baby-milo-store-unstrung-badminton-racket-ars-babymilo-o-orange
https://yumo.ca/collections/badminton-rackets/products/hundred-nano-neo-7000-badminton-racket,"{""Balance"": ""Head Heavy"", ""Weight"": ""79 grams"", ""Shaft Flexibility"": ""Flexible"", ""Color"": ""Charcoal/Black, Navy/Black"", ""Maximum Racket Tension"": ""32-34 LBS (pounds)""}","Hundred Nano Neo 7000 Unstrung Badminton Racket
Nano Neo is crafted with advanced Nano Graphite for exceptional strength, stability, and lightweight performance. Featuring Smash Power technology for powerful, precise smashes, Rapid Rebounse for quick shot recovery during high-speed rallies, and CntrlFoam integration to absorb shock and enhance control, this racket combines power, precision, and comfort to elevate your game.
Product Specification:
Color
- Charcoal/Black, Navy/Black
Product Range
- Nano Neo
Player Type
- Attacking
Weight
- 79 grams (5U),
83 grams (4U)
Balance
- Head Heavy
Shaft Flexibility
- Flexible
Racket Grip Size
- G6
Maximum Racket Tension
-
32-34 LBS (pounds)
Material
- Carbon Fibre
Product Type
-
badminton racket
Made in China
Product Technology:
AECG+
Fuses graphite layers tighter for a stronger, longer-lasting frame — built to perform, game after game. More strength means more confidence in every shot.
Curve²
Designed using principles from fluid dynamics, the Curve2 design features a frame optimized with two distinct curves. This innovative shape reduces air resistance, vastly improving aerodynamics. As a result, players can achieve faster swings and unleash more powerful shots with greater energy efficiency.
T-Fuse
A specific design feature that integrates the shaft and frame of the racket at the T-joint. This seamless connection is achieved using nano-tubes, creating a unified and stable frame that enhances power and control during play.
High Resilience Anti-Torsion Cone
Provides quick stability even when the shuttle hits outside the racket's sweet spot. This allows you to focus on refining your technique and delivering more effective, high-quality attacks.
Wide Profile Frame
Wide frame profile and aero shape with sharp edges reduce frame warp during swing, improving repulsion and follow through. It creates smoother contours throughout the racket head for less wind resistance and extra racket speed.
CNTRLFOAM
The CNTRLFOAM underneath the racket's frame gives it superior durability and flexibility. It helps the racket regain its position after a strong smash for the upcoming attacks fast and swiftly.
Precision Cap
Comes with a special Precision Cap that helps with better thumb placement and grip. This makes the racket easier to handle and gives you more control during gameplay.",87.0,http://yumo.ca/cdn/shop/files/Hundred-Nano-Neo-7000_Charcoal_Black_Badminton_Racket_YumoProShop_1200x1200.png?v=1767987244,hundred-nano-neo-7000-badminton-racket
https://yumo.ca/collections/badminton-rackets/products/hundred-nitrix-thunder-badminton-racket,"{""Balance"": ""Head Heavy"", ""Weight"": ""4U"", ""Shaft Flexibility"": ""Flexible"", ""Color"": ""Black/Orange, White/Orange"", ""Maximum Racket Tension"": ""32 LBS (pounds)""}","Hundred Nitrix Thunder Unstrung Badminton Racket
The Nitrix Thunder knows just one thing. Smash like hell. The frame swings quick, loads power, and delivers a strike that feels heavy on the opponent’s side and addictive on yours. This is the racket you pick when the rally turns aggressive and you let your shots do the talking.
Product Specification:
Color
- Black/Orange, White/Orange
Product Range
- Nitrix
Frame Shape
-
Curve²
Player Type
- Attack
Player Level
- Intermediate
Weight
- 4U, 5U
Balance
- Head Heavy
Shaft Flexibility
- Flexible
Material
- Carbon Fiber
Shaft Thickness Mm
-
7
mm
Racket Grip Size
- G6
Maximum Racket Tension
- 32 LBS (pounds)
Product Type
-
Badminton Racket
/
HBRX-5U003-1-4U
Made in China
Product Technology:
Superlight Carbon Fiber
The light frame slices through the air quicker, giving you the split-second advantage to strike earlier.
Curve2 Frame Geometry
The frame shape stretches the hitting zone, making clean contact easier and smashes more punishing.
Graphite Lab Build
The frame holds firm without compromising on touch, so when you load up for a smash, it answers instantly. Heavy, fast, and uncompromising.",67.5,http://yumo.ca/cdn/shop/files/Hundred_Nitrix_Thunder_Black-Orange_Badminton_Racket_YumoProShop_64513d23-9d50-4f74-8da1-d3518dbeb2f3_1200x1200.png?v=1768002063,hundred-nitrix-thunder-badminton-racket
https://yumo.ca/collections/badminton-rackets/products/hundred-battle-900-badminton-racket,"{""Balance"": ""Head Heavy"", ""Weight"": ""86 grams"", ""Shaft Flexibility"": ""Flexible"", ""Color"": ""Black"", ""Maximum Racket Tension"": ""32 LBS (3U), 34 LBS (4U)""}","Hundred Battle 900 Unstrung Badminton Racket
3U Badminton Racket - Black Engineered for relentless attack and supreme control, the Hundred Battle 900 3U is a professional-level badminton racket built for players who dominate the court with power, precision, and quick transitions. Slightly heavier than its 4U counterpart, the 3U edition offers increased stability and punch, ideal for advanced players who thrive on a powerful offensive game.
4U stands out with its impeccable balance and lightweight design, tailored for those who command the game with aggressive plays and swift movements. This racket is engineered to cater to the demands of high-level competitive play, offering a unique advantage to players who thrive on precision and power.
Product Specification:
Color
- Black
Product Range
- Battle
Player Type
- Attacking
Player Level
- Professional
Weight
- 86 grams (3U), 84 grams (4U)
Balance
- Head Heavy
Shaft Flexibility
- Flexible
Racket Grip Size
- G6
Maximum Racket Tension
- 32 LBS (3U), 34 LBS (4U)
Material
- Carbon Fibre
Product Type
-
badminton racket
/
HBRX-2U163 (3U), HBRX-2U160 (4U)
Made in China
Product Technology:
T-Fuse
The nano-tubes within the racket frame are fused to generate a seamless built-in T-Joint. This gives greater stability to the shuttle on the string bed. The ultratough T-anchor reinforces the intersection of the shaft and head for a faster recovery, increasing strength and stiffness to reduce torsion and eliminate twisting.
Vaporshaft XS 6.5MM
The VaporShaft is engineered for pure Power Multiplication. The racket features a finely crafted shaft with a thickness of just 6.5mm, one of the smallest sizes that effortlessly slices through the air for sharper crisp shots. Alongside its flexible profile, it improves the power of athletes like you by multitudes to boost your swings.
Control Foam
The racket frame is fortified by using special moulding technology. The racket frame is internally filled with high-tech light shock absorption materials. This construction enhances the racket’s striking power by smooth transmission as the frame absorbs shock when hitting the shuttlecock & offers more power.",145.5,http://yumo.ca/cdn/shop/files/Hundred_Battle900_Black_Badminton_Racket_YumoProShop_1200x1200.png?v=1767916173,hundred-battle-900-badminton-racket
https://yumo.ca/collections/badminton-rackets/products/hundred-nitrix-pro,"{""Weight"": ""4U"", ""Balance"": ""Head Heavy"", ""Shaft Flexibility"": ""Hard Flex"", ""Color"": ""Black/Gold"", ""Maximum Racket Tension"": ""32 LBS""}","Hundred Nitrix Pro Unstrung Badminton Racket [Black/Gold]
The Hundred Nitrix Pro is built for players who want elite-level attacking performance combined with responsive control and fast handling. Its head-heavy balance helps generate aggressive smash momentum and deeper penetrating clears, while the lightweight 4U frame allows quick racket recovery and sharp reactions during fast rallies. The slim aerodynamic shaft improves swing speed to support powerful offensive play, while the medium flex profile offers a balance feel between dynamic power and precise shot placement.  This racket is designed to help players take command of the game with powerful attacks while maintaining confidence in control and stability.
Key Features
Head-heavy balance for powerful smashes and attacking dominance
Lightweight 4U frame for quick handling and smooth transitions
Slim aerodynamic shaft for higher swing speed and acceleration
Medium flex shaft for dynamic power with controlled precision
Reinforced carbon fiber construction for enhanced stability and durability
Supports high string tension for crisp and controlled shot feel
Ideal For
Intermediate and advanced club players
singles and doubles players focused on attacking shots
players upgrading to higher-performance racket
those who prefer aggressive play with dependable control
Product Specification:
Color
- Black/Gold
Maximum Racket Tension
- 32 LBS
Balance
-Head Heavy
Shaft Flexibility
- Hard Flex
Racket Grip Size
- G6
Material
- M46X Carbon Fibre
Weight
- 3U, 4U
Product Type
-
badminton racket
Made in China
Product Technology:
HBRX-5159",176.25,http://yumo.ca/cdn/shop/files/Hundred_Nitrix_Pro_Badminton_Racket_YumoProShop_1200x1200.png?v=1768256866,hundred-nitrix-pro
https://yumo.ca/collections/badminton-rackets/products/hundred-nuclear-60-white-blue-black,"{""Balance"": ""Head Heavy"", ""Weight"": ""60 grams"", ""Shaft Flexibility"": ""Flexible"", ""Color"": ""White/Blue/Black, Navy/Gold"", ""Maximum Racket Tension"": ""32 LBS""}","Hundred Nuclear 60 Unstrung Badminton Racket
Weighing only 60g, the Nuclear 60 is Hundred’s lightest badminton racket. Its unicarbon material technology results in a superior lightweight carbon fiber variant that is built for efficiency. The racket’s acceleration cap enhances the force of your wrist. The supported thumb grip has a wider surface area compared to ordinary rackets, helping with easy gripping, faster strikes and better precision.
Product Specification:
Color
- White/Blue/Black, Navy/Gold
Maximum Racket Tension
- 32 LBS
Net Quantity
- 1N
Player Level
- Professional
Player Type
- Attacking
Balance
-Head Heavy
Balance Point
- 330 mm
Shaft Flexibility
- Flexible
Shaft Thickness Mm
- 7 mm
Frame Shape
-
Curve²
Racket Grip Size
- G5
Material
- Carbon Fibre
Product Range
- Nuclear
Weight
- 60 grams
Product Type
-
badminton racket / HBRX-2U028
Made in China
Product Technology:
Unicarbon Structure
The racket frame is engineered with a unique unicarbon structure derived from extensive processes for carbon fiber strength optimisation. This results in a superior lightweight carbon fiber variant that is built for efficacy at the atomic level
Vaporshaft 7.0 mm
Hundred's engineers designed the VaporShaft for pure Power Multiplication. The VaporShaft is crafted with a thickness of 7.0 mm. Alongside its flexible profile, it features a striking ability that improves the power of athletes like you by multitudes to boost your swings",123.75,http://yumo.ca/cdn/shop/files/Hundred_Nuclear60_White_Blue_Black_BadmintonRacket_YumoProShop_1200x1200.png?v=1767827727,hundred-nuclear-60-white-blue-black
https://yumo.ca/collections/badminton-rackets/products/hundred-hyfonic-lazer,"{""Balance"": ""Even Balance"", ""Weight"": ""4U"", ""Shaft Flexibility"": ""Flexible"", ""Color"": ""Black/Green, White/Copper""}","Hundred Hyfonic Lazer Unstrung Badminton Racket
Hyfonic Lazer is the racket that executes clean unscattered accuracy. Specialising the dual-aerodynamic frame design to sharpen the shuttle path, it snaps through smashes and amplifies power for lifts. This is control that feels natural and placement that feels intentional.
Product Specification:
Color
- Black/Green, White/Copper
Weight
- 32 LBS
Balance
- Even Balance
Shaft Flexibility
- Flexible
Shaft Thickness Mm
- 7 mm
Frame Shape
-
Curve²
Weight
- 4U, 5U
Racket Grip Size
- G6
Material
- Carbon Fibre
Product Type
-
badminton racket / HBRX-5U006-1-4U
Made in China
Product Technology:
AECG+ Carbon Construction
Made from aerospace-grade carbon, this structure brings quick snapback, high durability, and a feather-light feel.
Dual Aerodynamic Frame
A unique two-edge frame featured faster overheads and tighter lifts. The racket adjusts its aerodynamics based on the stroke, giving you directional sharpness and superior shuttle control.
Torsion Stop System
Lateral twisting is eliminated, so every shot stays true to your intent. More stability means fewer off-center mishits and better accuracy when it counts.",56.25,http://yumo.ca/cdn/shop/files/Hundred_Hyfonic7Lazer__Black_Green__BadmintonRacket_YumoProShop_1_1200x1200.png?v=1767829955,hundred-hyfonic-lazer
https://yumo.ca/collections/badminton-rackets/products/hundred-flareon-typhoon-badminton-racket,"{""Balance"": ""Head Light"", ""Weight"": ""4U"", ""Shaft Flexibility"": ""Flexible"", ""Color"": ""Black/Green/Blue, White/Red/Blue"", ""Maximum Racket Tension"": ""32 LBS (pounds)""}","Hundred Flareon Typhoon Unstrung Badminton Racket
Every inch of the Typhoon is tuned for acceleration. With lightning-fast swing speed and a lightweight, aerodynamic build, it is known for its quick reaction in the game. Flareon Typhoon slices through air like a storm in motion.
Product Specification:
Color
- Black/Green/Blue, White/Red/Blue
Product Range
- Flareon
Frame Shape
-
Curve²
Weight
- 4U, 5U
Balance
- Head Light
Shaft Flexibility
- Flexible
Shaft Thickness Mm
-
7
mm
Racket Grip Size
- G6
Maximum Racket Tension
- 32 LBS (pounds)
Product Type
-
Badminton Racket
/ HBRX-5U004-1-4U
Made in China
Product Technology:
Superlight Carbon Fiber
The lightweight carbon construction lets the racket flow effortlessly through the air, helping you react faster, swing sharper, and strike before your opponent blinks.
Torsion Stop System
Reduces unwanted frame twist during high-speed exchanges, so your shots stay clean, direct, and locked in.
CNTRL Foam
Shock-absorbing foam softens impact without sacrificing feedback, giving you better comfort on every shot and a crisp feel to keep your game in rhythm.",67.5,http://yumo.ca/cdn/shop/files/Hundred_Flareon_Typhoon_Black_Green_Blue_BadmintonRacket_YumoProShop_8_1200x1200.png?v=1767827272,hundred-flareon-typhoon-badminton-racket
https://yumo.ca/collections/badminton-rackets/products/hundred-nitrix-attack-badminton-racket,"{""Balance"": ""Head Heavy"", ""Weight"": ""4U"", ""Shaft Flexibility"": ""Flexible"", ""Color"": ""Black, White"", ""Maximum Racket Tension"": ""32 LBS (pounds)""}","Hundred Nitrix Attack Unstrung Badminton Racket
A racket built to play bold. The Kidambi Edition celebrates one of badminton’s fiercest attackers, bringing that same fearless intent to your game. Swift through the air and relentless on the court, it gives every smash bite and every shot purpose.
Inspired by Srikanth Kidambi’s fearless style, this edition channels his attacking mindset into a racket built for sharp, confident play.
Product Specification:
Color
- Black, White
Product Range
- Nitrix
Frame Shape
-
Curve²
Player Type
- Attack
Player Level
- Intermediate
Weight
- 4U
Balance
- Head Heavy
Shaft Flexibility
- Flexible
Shaft Thickness Mm
-
6.5
mm
Racket Grip Size
- G6
Maximum Racket Tension
- 32 LBS (pounds)
Product Type
-
Badminton Racket
HBRX-5U160-2
Made in China
Product Technology:
VAPORSHAFT 6.5MM
A flexible, ultra-slim shaft built for fast acceleration, adding whip and bite to every smash.
GRAPHITE LAB
A carefully engineered frame that balances strength and lightness, built to handle the demands of an aggressive game.
Curve²
A refined frame shape that expands the sweet spot, giving attackers precision and confidence from every position.",75.0,http://yumo.ca/cdn/shop/files/Hundred_Nitrix_Attack_Black_Badminton_Racket_YumoProShop_31aa1c40-76c5-4c23-a65a-1d13db9a7b6e_1200x1200.png?v=1768004472,hundred-nitrix-attack-badminton-racket
